Genes,Bc12,Ch40.2,Ch22.2,Ch22.1,Ch22,Ch22.3,Bc12.1,Bc24.1,Bc18.1,Ch40.3,Ch40.1,Bc18,Bc24,Ch40
AT3G60470,0.0,0.3238299392425257,1.00715373767549,0.1150013235546199,0.5066814277781342,1.2927669713179264,0.0,1.696660858274651,0.0,0.2234615854720805,0.7048429616517634,0.0,1.9017228841423084,0.8552740085760756
AT2G29320,7.014240733103822,4.26903656131342,5.00021223604221,5.093859075700617,5.14364315213262,4.97893644758893,6.956452385573185,3.2017725903595537,6.174928443386339,4.0571663249244345,4.803623885896805,5.807968366783305,3.495648637187028,4.857366289507067
AT5G17790,3.8032468529860832,2.441800676522789,3.602919319104016,3.487004834258072,3.3676079073767773,3.698146727091616,3.8169567274779688,3.2789982840430976,3.6497160362870926,2.7045602144923264,2.7652572321849,3.6719241448933855,3.2685585567602957,2.895965107399572
AT1G75540,5.094064652506564,4.884365113619345,5.942833580140229,5.847539293637142,5.75038312357492,5.8897976605457725,5.0615115283945045,5.713040192219046,5.299262574783754,4.770483281943154,5.167052468721083,5.6065318374087925,5.817783863980939,5.241750091214674
AT2G44430,4.145564265333924,5.0056833445198965,4.944903760728267,5.090451222991898,5.0640249525517484,4.95394141647842,3.705797685492409,4.455726328713243,3.724207878012245,4.951010186211676,4.897766182939781,3.875719296657578,4.2772442422194485,4.97508077077936
AT1G26090,4.302272970825297,3.376567074714455,3.942384122258357,3.998694463372247,3.895007129845754,3.9986760048831647,4.196536949310109,3.6975017346144825,3.683549905323675,3.663912885320294,3.397793396287066,4.026984826297621,3.6045255110962526,3.2026155776458656
AT4G02750,1.541610041548227,1.1278804278931984,1.8781204254670525,1.97504154977664,1.7563638449176993,2.2529443141661605,1.1793548619749898,1.2218726373578044,1.3593635238118735,1.3525498162017129,1.13242243132217,1.391331442281443,1.472469194590183,1.615609502842811
AT5G47500,0.118725828811066,0.1502031215448434,0.9112878928122052,0.4066651984352372,0.4116943585006407,1.0811328034586127,0.7602378279705783,3.077742754141069,0.1511119944979992,0.0,0.3050276313968837,0.0,3.560101231905532,0.3047371876326812
AT2G48080,0.5148366529259589,0.1262175764273577,0.4509389299794288,0.2398622548747986,0.4509105722883512,0.2460187134177092,0.4295874872333968,0.4102135449658277,1.134973516883463,0.2419640139088131,0.2584360374653929,0.5002419598612255,0.3557304487446692,0.1348610060644927
AT3G28740,0.3827073247944385,1.2388679050258804,0.9086419825867778,0.7421903729956021,0.8316707001092506,1.4218802973184046,0.1671706918728631,3.752871372610564,1.4125733503462778,1.2958694899728078,1.030205981182324,0.2871160843346523,3.2803770031431703,1.4699199471898852
AT5G38060,4.6120678030262905,2.329114920264632,3.239370895397327,3.379995952347714,3.1225091192756413,3.256599488275937,4.416782332325093,2.957755587604883,4.041419419358815,2.218456377769753,3.1459025766455726,4.460080082343584,2.838986165835683,3.0791106922832867
AT4G16400,1.9017995120470828,0.5377793466985608,0.6475884136859396,0.5329174737152903,1.0928919534996926,0.5453039372148576,1.2798343592567205,0.6062626187606359,1.3735945749479892,0.5371521172271012,0.3130444718838316,1.436405129785688,0.8527595526691062,0.3127471914448583
AT4G29410,5.173129090702732,4.9414299962580746,5.680349542775481,5.634336425930816,5.617831869748714,5.578555882578731,5.259392107194577,5.825773052264312,5.904863003064767,5.105958383636826,5.280978519524696,6.049318418559196,5.947879082299046,5.214577752673389
AT1G79985,5.505085148608296,5.331086658929989,5.542380337676437,5.439849074811521,5.335652810745899,5.639308792605491,5.520558303943993,6.03921284222444,5.429747582041417,5.559584910139895,5.6209014932434185,5.377947666055084,6.220902800724772,5.603070250682634
AT2G44580,2.021514812131178,0.9361327255376796,1.3623411698609962,1.349866885086462,0.7264336450880796,1.5147455167197088,1.4931614961397162,2.208168255690925,2.4150653670998308,0.3341159415077859,1.1762809365504254,2.705008472345786,2.465446318150244,1.494662906046445
AT4G11420,5.234171297209314,5.641810008145684,6.2980596519650245,6.192826016099385,6.215323885535805,6.3909255772332365,5.227180382703887,6.59680833638902,6.01399051562079,5.684360777779915,5.84809456908508,6.118681868621194,6.6575717498472775,5.86637985424431
