Genes,Bc12,Ch40.2,Ch22.2,Ch22.1,Ch22,Ch22.3,Bc12.1,Bc24.1,Bc18.1,Ch40.3,Ch40.1,Bc18,Bc24,Ch40
AT1G36580,0.0,0.0,0.1419151848364217,0.0,0.1419052879052927,0.0,0.0,0.1452030582527237,0.0,0.0,0.0,0.0,0.0,0.0
AT1G34540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594257706984454,0.1582599333473148,0.169364048381485,0.1213027770318526,0.0,0.0
AT5G61050,0.0,0.205727370046022,0.0,0.0,0.0,0.0,0.0,0.2110398684716067,0.0,0.0,0.2196312132769924,0.0,0.0,0.0
AT1G13490,0.0,0.1747193728846807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744894916851322,0.3519135580454406,0.0,0.0,0.0
AT1G60720,0.0,0.0,0.0,0.0,0.0,0.0,0.1716090261285248,0.14098934955277,0.0,0.0,0.0,0.0,0.1399092536572489,0.2798959069066131
AT1G47990,0.0,0.2134463295941832,0.0,0.0,0.0,0.0,0.0,0.2189434332893014,0.0,0.0,0.1184086813051387,0.0,0.2173096220551268,0.0
AT5G06090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511705705957617,0.0,0.1470933813481601,0.0,0.1126428386598436,0.0769572559069556,0.2991200622301349
AT1G02980,0.0,0.2090490408650572,0.0,0.0,0.0,0.0,0.0,0.0380274181859291,0.0,0.0730013032175204,0.078285533044499,0.0,0.1794751500817551,0.2229420805014899
AT1G09155,0.3431401158500705,0.0,0.0,0.2263700497674289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437477445681427
AT3G03500,0.0,0.1663633707245164,0.1668856147680534,0.0,0.1668740749374652,0.0,0.0,0.0,0.0,0.0,0.1777678329053219,0.0,0.0,0.1775911561009997
AT3G08750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2152786116241588,0.2111112827817733,0.2095941249335373,0.2240294810048859,0.0,0.0,0.0
AT2G32780,0.0,0.0,0.1393196929093071,0.0,0.13930996838248,0.1411029864536769,0.0,0.0,0.0,0.1386946485549528,0.1484954917768019,0.0,0.0366861672276073,0.1483464327159351
AT4G38030,0.0,0.3179206631584453,0.0,0.0,0.0,0.0,0.0,0.1392736165190618,0.0,0.1355024382194659,0.0743675668861883,0.0,0.1048758344386586,0.1449430403482796
AT1G67270,0.0,0.0,0.0,0.0,0.0,0.0982755780238246,0.0,0.2365004700232616,0.0,0.2722546350912773,0.2000770603046398,0.0,0.1453771189147588,0.0
AT2G22290,0.1650473040906613,0.0,0.0,0.0,0.0,0.0,0.1349192408023977,0.0,0.2091828667429262,0.0,0.2219918977591215,0.0,0.0,0.221774544142308
AT4G05490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888021212963554,0.0,0.3641441299983076,0.0,0.0,0.1020283142949804,0.2067335297014862
AT1G77340,0.0,0.0,0.3656648214235255,0.1918221357833258,0.1943733704905767,0.0,0.0,0.1028263108771565,0.0,0.0,0.2069371757759061,0.0,0.0,0.0
AT2G42005,0.0,0.0,0.0,0.0,0.0,0.1919311725618597,0.0,0.4431414700689035,0.0,0.0,0.0,0.0,0.4400712281261573,0.0
AT5G04630,0.0,0.0,0.1557181565651872,0.1536369560588307,0.2962345670344979,0.1577001103172067,0.0,0.1593085172947286,0.0,0.0,0.0,0.0,0.0,0.1657476826069583
AT4G12330,0.1944786340633915,0.0,0.0,0.0,0.0,0.0,0.4331346711339531,0.2506334097762283,0.0,0.0,0.0,0.0972540313272828,0.1297474102477349,0.0
AT1G59940,0.0,0.1839603637170084,0.0,0.0,0.0,0.0,0.0,0.1887468052965265,0.0,0.1837190809692772,0.0,0.0,0.3530967134264721,0.1962970490903756
AT5G50300,0.0,0.276725608985943,0.0,0.0,0.0,0.0,0.0,0.3466898124837828,0.0,0.1447948558166746,0.0,0.0,0.3442104597599745,0.0
AT5G66660,0.0,0.1956007471011414,0.0,0.1936216806581585,0.1961952595376656,0.0,0.0,0.0,0.1967661056055805,0.1953452058511209,0.0,0.1501707028040258,0.0,0.0
AT1G28220,0.1635310303738142,0.0,0.206704280684556,0.2039884288548241,0.2066901791500178,0.2092895116026577,0.0,0.0,0.0,0.0,0.0,0.1583368187536298,0.0,0.0
AT1G13510,0.0,0.1908300900440243,0.0,0.0,0.0,0.0,0.0,0.1957834353466988,0.0,0.0,0.3823357391175987,0.0,0.0,0.3819809232934962
AT2G43960,0.0,0.0,0.1639460707062508,0.0,0.3111276204471366,0.1660268443357468,0.0,0.0,0.1644169697724995,0.0,0.1746479661630486,0.0,0.0,0.174474206293993
AT3G48340,0.0,0.0,0.0,0.1746459613569839,0.1769825008438004,0.0,0.0,0.0,0.1775008211568656,0.0,0.1884940774945294,0.2589103163534624,0.1796772442313324,0.0
AT3G46260,0.0,0.3616864781792834,0.0,0.0,0.0,0.0,0.0,0.1971333934140214,0.0,0.2505808950166261,0.1399885088591408,0.0,0.068208172483601,0.1398475814814182
AT3G30770,0.1437803738659181,0.3426855210659784,0.0939002669740333,0.0,0.0,0.0,0.0,0.0,0.0,0.1812555095591914,0.1938674991789718,0.0712696336550335,0.0484703160667879,0.1000855207916111
AT3G16300,0.2503500005914593,0.0,0.0,0.0,0.0,0.0,0.0,0.1693706028974131,0.0,0.312744112788355,0.0,0.0,0.4549121992826411,0.0
AT2G19610,0.0,0.1678123840155624,0.0,0.1660985500322012,0.1683272820287576,0.1704722166436885,0.0,0.1722032806799533,0.0,0.0,0.1793101417944241,0.0,0.1708978970990634,0.0
AT1G28080,0.1126499936252052,0.0,0.0,0.1411257815554684,0.0,0.0,0.0,0.1463585370528895,0.1434595852994994,0.0,0.0,0.210361015137467,0.4549121992826411,0.0
AT2G24320,0.0,0.0,0.0,0.0,0.1969645152789305,0.0,0.0,0.2014551231798584,0.1975374498459974,0.0,0.2096839488531499,0.0,0.1999429611816425,0.2094777911318488
AT2G21910,0.0,0.1549409788088606,0.1554292650993996,0.153351724052083,0.1554184754963644,0.0,0.0,0.0,0.0,0.1547357467281325,0.4488084950326151,0.0,0.0,0.0
